Time,Current,Power
0,83.23,374.025
0.366,81.84,370.786
0.769,81.76,365.003
1.173,80.54,359.48
1.552,78.87,353.183
1.935,76.79,350.17
2.312,75.89,346.329
2.662,75.46,343.624
3.008,74.15,338.585
3.36,73.62,337.315
3.736,73.22,332.655
4.085,72.27,330.423
4.434,71.33,329.69
4.782,71.21,327.912
5.132,70.75,327.371
5.49,70.33,325.591
5.847,69.12,323.355
6.206,69.22,320.728
6.557,68.62,318.512
6.958,67.6,314.731
7.307,66.79,309.884
7.656,65.43,307.163
8.007,64.99,304.915
8.383,64.29,303.244
8.731,63.79,303.566
9.082,63.56,296.495
9.429,62.63,292.702
9.779,61.62,290.076
10.128,61.24,282.945
10.505,59.66,276.338
10.855,57.72,264.085
11.24,55.41,247.262
11.622,52.82,234.105
11.981,47.25,207.43
12.331,43.47,205.56
12.707,41.04,190.745
13.056,39.82,210.064
13.406,40.76,200.818
13.755,42.51,200.77
14.142,43.02,209.424
14.496,42.87,214.784
14.856,42.7,217.899
15.206,44.86,216.171
15.583,43.56,216.604
15.932,46.5,219.33
16.281,47.02,225.611
16.629,46.61,227.845
16.98,46.9,192.559
17.329,47.16,228.422
17.679,46.83,225.524
18.054,49.54,238.109
18.404,49.78,233.787
18.806,49.54,236.655
19.155,49.92,221.411
19.505,45.92,228.085
19.854,46.91,245.432
20.202,49.99,243.202
20.551,50,241.485
20.928,50.42,234.938
21.277,48.97,233.578
21.626,50.11,228.921
21.976,47.85,227.763
22.326,48.19,231.73
22.673,49,218.042
23.035,47.45,228.464
23.399,47.98,237.296
23.748,48.94,237.078
24.097,49.8,237.801
24.447,49.98,233.908
24.823,49.85,238.991
25.172,49.45,232.305
25.522,48.81,229.754
25.942,48.15,222.32
26.328,47.3,221.165
26.693,47.69,232.057
27.052,46.84,227.361
27.401,45.62,218.17
27.75,43.63,220.428
28.127,45.08,216.042
28.477,45.61,205.025
28.879,44.02,205.424
29.228,44.97,210.784
29.577,44.82,208.808
29.928,43.48,196.792
30.276,41.6,187.373
30.625,39.42,194.662
31,39.09,194.339
31.35,41.89,193.246
31.698,42.22,202.78
32.048,41.44,193.451
32.397,42.03,199.222
32.748,40.94,197.248
33.099,43.36,204.988
33.456,42.39,195.503
33.813,42.24,198.307
34.172,41.45,192.265
34.521,40.51,185.319
34.871,39.91,191.971
35.247,40.28,179.061
35.612,39.91,193.428
35.972,40.08,199.128
36.347,42.16,200.182
36.697,40.65,188.061
37.046,40.08,190.642
37.395,39.69,182.161
37.744,40.21,176.779
38.122,42.35,194
38.468,41.65,189.127
