Time,Amps,Volts,Torque
0.001,87.18,6.001,0.469
0.391,85.76,6.001,0.454
0.796,81.81,6.001,0.437
1.17,78.3,6.001,0.438
1.578,77.69,6.001,0.433
1.961,76.7,6.001,0.428
2.334,76.26,6.001,0.428
2.685,75.45,6.001,0.424
3.033,74.78,6.001,0.418
3.383,73.26,6.001,0.416
3.731,72.79,6.001,0.412
4.082,72.09,6.001,0.409
4.457,71.25,6.001,0.406
4.806,70.62,6.001,0.406
5.156,70.56,6.001,0.403
5.505,70.01,6.001,0.4
5.854,69.21,6.001,0.396
6.229,68.42,6.001,0.393
6.579,67.74,6.001,0.39
6.927,67.08,6.001,0.386
7.277,66.27,6.001,0.383
7.626,65.68,6.001,0.381
8.001,65.08,6.001,0.378
8.351,64.5,6.001,0.375
8.699,63.92,6.001,0.372
9.049,63.39,6.001,0.371
9.398,62.91,6.001,0.368
9.775,62.42,6.001,0.365
10.124,61.93,6.001,0.363
10.474,61.46,6.001,0.361
10.822,61.02,6.001,0.359
11.172,60.55,6.001,0.357
11.549,60.2,6.001,0.355
11.897,59.79,6.001,0.353
12.247,59.42,6.001,0.351
12.595,59.06,6.001,0.35
12.945,58.71,6.001,0.348
13.293,58.38,6.001,0.347
13.67,58.05,6.001,0.345
14.018,57.71,6.001,0.343
14.367,57.4,6.001,0.342
14.717,57.1,6.001,0.34
15.066,56.83,6.001,0.339
15.416,56.55,6.001,0.337
15.79,56.26,6.001,0.336
16.141,56,6.001,0.334
16.489,55.74,6.001,0.333
16.839,55.5,6.001,0.332
17.187,55.27,6.001,0.331
17.574,55.01,6.001,0.329
17.968,54.79,6.001,0.328
18.343,54.57,6.001,0.327
18.693,54.36,6.001,0.326
19.042,54.14,6.001,0.324
19.417,53.94,6.001,0.324
19.766,53.73,6.001,0.322
20.116,53.54,6.001,0.322
20.465,53.36,6.001,0.32
20.814,53.18,6.001,0.319
21.163,53.01,6.001,0.319
21.539,52.84,6.001,0.318
21.888,52.64,6.001,0.317
22.237,52.48,6.001,0.316
22.587,52.31,6.001,0.315
22.936,52.14,6.001,0.314
23.285,51.96,6.001,0.313
23.662,51.77,6.001,0.312
24.01,51.62,6.001,0.311
24.36,51.49,6.001,0.31
24.708,51.33,6.001,0.31
25.058,51.2,6.001,0.309
25.433,51.07,6.001,0.308
25.783,50.92,6.001,0.307
26.133,50.78,6.001,0.306
26.481,50.66,6.001,0.306
26.832,50.53,6.001,0.305
27.182,50.39,6.001,0.304
27.557,50.25,6.001,0.303
27.905,50.11,6.001,0.302
28.255,49.89,6.001,0.301
28.604,49.79,6.001,0.301
28.979,49.69,6.001,0.3
29.329,49.55,6.001,0.299
29.678,49.45,6.001,0.299
30.027,49.34,6.001,0.298
30.376,49.23,6.001,0.297
30.725,49.11,6.001,0.297
31.101,49,6.001,0.296
31.451,48.9,6.001,0.296
31.8,48.79,6.001,0.295
32.149,48.67,6.001,0.294
32.498,48.55,6.001,0.294
32.848,48.45,6.001,0.293
33.224,48.3,6.001,0.292
33.571,48.19,6.001,0.291
33.922,48.09,6.001,0.291
34.27,47.97,6.001,0.29
34.62,47.86,6.001,0.289
34.996,47.75,6.001,0.289
35.346,47.64,6.001,0.288
35.693,47.5,6.001,0.287
36.044,47.38,6.001,0.287
36.393,47.32,6.001,0.287
36.743,47.25,6.001,0.286
37.119,47.13,6.001,0.285
37.467,47.05,6.001,0.285
37.817,46.97,6.001,0.285
38.165,46.93,6.001,0.285
38.547,46.92,6.001,0.285
38.907,46.95,6.001,0.284
39.266,46.9,6.001,0.284
39.615,46.77,6.001,0.283
39.993,46.67,6.001,0.283
40.34,46.61,6.001,0.283
40.69,46.58,6.001,0.283
41.039,46.51,6.001,0.282
41.388,46.43,6.001,0.282
41.764,46.32,6.001,0.281
42.114,46.28,6.001,0.281
42.462,46.2,6.001,0.281
42.812,46.09,6.001,0.28
43.162,46.05,6.001,0.279
43.536,45.85,6.001,0.279
43.886,45.82,6.001,0.277
44.234,45.54,6.001,0.276
44.586,45.58,6.001,0.277
44.934,45.68,6.001,0.277
45.309,45.62,6.001,0.277
45.659,45.57,6.001,0.274
46.008,45.23,6.001,0.275
46.358,45.25,6.001,0.275
46.706,45.25,6.001,0.275
47.055,45.27,6.001,0.275
47.432,45.26,6.001,0.275
47.781,45.24,6.001,0.274
48.129,45.21,6.001,0.275
48.48,45.21,6.001,0.274
48.828,45.19,6.001,0.274
49.177,45.17,6.001,0.274
49.555,45.13,6.001,0.274
49.903,45.09,6.001,0.274
50.253,45.05,6.001,0.273
50.6,45.03,6.001,0.271
50.952,45.09,6.001,0.27
51.327,45.08,6.001,0.27
51.676,45.04,6.001,0.269
52.025,45,6.001,0.269
52.375,44.96,6.001,0.269
52.723,44.92,6.001,0.269
53.072,44.85,6.001,0.268
53.449,44.8,6.001,0.268
53.798,44.74,6.001,0.268
54.147,44.7,6.001,0.268
54.495,44.64,6.001,0.267
54.872,44.58,6.001,0.267
55.221,44.51,6.001,0.267
55.569,44.46,6.001,0.266
55.92,44.36,6.001,0.261
56.269,43.76,6.001,0.261
56.617,43.81,6.001,0.261
56.993,43.82,6.001,0.261
57.341,43.73,6.001,0.261
57.692,43.76,6.001,0.26
58.041,43.73,6.001,0.261
58.391,43.68,6.001,0.261
58.74,43.65,6.001,0.26
59.116,43.62,6.001,0.26
59.465,43.56,6.001,0.26
59.814,43.51,6.001,0.259
60.162,43.46,6.001,0.259
60.512,43.39,6.001,0.259
60.888,43.31,6.001,0.259
61.238,43.28,6.001,0.259
61.588,43.25,6.001,0.258
61.957,43.21,6.001,0.258
62.339,43.16,6.001,0.258
62.688,43.12,6.001,0.257
63.037,43.07,6.001,0.257
63.386,42.98,6.001,0.256
63.764,42.92,6.001,0.256
64.112,42.95,6.001,0.256
64.46,42.94,6.001,0.256
64.81,42.93,6.001,0.256
65.16,42.9,6.001,0.256
65.508,42.87,6.001,0.255
65.858,42.84,6.001,0.256
66.233,42.92,6.001,0.255
66.582,42.88,6.001,0.255
66.933,42.86,6.001,0.254
67.282,42.79,6.001,0.254
67.631,42.72,6.001,0.254
68.006,42.68,6.001,0.254
68.355,42.66,6.001,0.254
68.704,42.64,6.001,0.253
69.055,42.2,6.001,0.251
69.403,42.35,6.001,0.251
69.779,42.38,6.001,0.251
70.128,42.4,6.001,0.251
70.478,42.22,6.001,0.251
70.825,42.22,6.001,0.251
71.175,42.21,6.001,0.251
71.55,42.18,6.001,0.251
71.9,42.19,6.001,0.251
72.249,42.29,6.001,0.251
72.598,42.28,6.001,0.251
72.948,42.23,6.001,0.252
73.297,42.19,6.001,0.252
73.656,42.15,6.001,0.251
74.012,42.1,6.001,0.251
74.372,42.07,6.001,0.251
74.722,42.04,6.001,0.251
75.069,42,6.001,0.251
75.42,41.96,6.001,0.25
75.796,41.91,6.001,0.25
76.145,41.82,6.001,0.25
76.495,41.75,6.001,0.25
76.844,41.77,6.001,0.249
77.193,41.75,6.001,0.249
77.568,41.7,6.001,0.249
77.918,41.67,6.001,0.249
78.266,41.64,6.001,0.248
78.615,41.59,6.001,0.248
78.965,41.58,6.001,0.248
79.341,41.57,6.001,0.248
79.689,41.55,6.001,0.248
80.04,41.53,6.001,0.248
80.388,41.5,6.001,0.247
80.738,41.48,6.001,0.247
81.087,41.46,6.001,0.247
81.464,41.43,6.001,0.246
81.813,41.4,6.001,0.246
82.162,41.37,6.001,0.246
82.51,41.35,6.001,0.246
82.86,40.93,6.001,0.243
83.209,41,6.001,0.243
83.586,41.07,6.001,0.243
83.935,41.07,6.001,0.243
84.285,41.08,6.001,0.243
84.633,41.07,6.001,0.242
84.983,41.05,6.001,0.242
85.359,41.03,6.001,0.242
85.708,41.01,6.001,0.242
86.058,40.98,6.001,0.242
86.406,40.96,6.001,0.241
86.755,40.93,6.001,0.241
87.105,40.9,6.001,0.241
87.481,40.87,6.001,0.241
87.829,40.84,6.001,0.241
88.18,40.81,6.001,0.24
88.527,40.78,6.001,0.24
88.902,40.74,6.001,0.24
89.252,40.69,6.001,0.24
89.601,40.66,6.001,0.24
89.949,40.64,6.001,0.239
90.3,40.61,6.001,0.239
90.649,40.57,6.001,0.239
91.025,40.55,6.001,0.238
91.374,40.52,6.001,0.238
91.723,40.48,6.001,0.238
92.072,40.3,6.001,0.237
92.421,40.09,6.001,0.237
92.771,40.25,6.001,0.224
93.148,43.73,6.001,0.223
93.495,43.9,6.001,0.222
93.845,44.08,6.001,0.221
94.194,44.09,6.001,0.221
94.544,44.11,6.001,0.221
94.92,44.1,6.001,0.22
95.269,44.09,6.001,0.22
95.619,44.05,6.001,0.22
95.968,44.05,6.001,0.219
96.317,44.08,6.001,0.219
96.666,44.08,6.001,0.219
97.043,44.01,6.001,0.218
97.39,44.02,6.001,0.218
97.742,44,6.001,0.218
98.09,43.98,6.001,0.217
98.466,43.95,6.001,0.217
98.814,43.92,6.001,0.217
99.163,43.89,6.001,0.217
99.513,43.86,6.001,0.216
99.862,43.83,6.001,0.216
100.211,43.8,6.001,0.216
100.587,43.76,6.001,0.215
100.935,44.06,6.001,0.215
101.285,44.02,6.001,0.215
101.636,43.97,6.001,0.215
101.983,43.91,6.001,0.215
102.333,43.87,6.001,0.214
102.709,43.82,6.001,0.214
103.058,43.79,6.001,0.214
103.409,43.76,6.001,0.213
103.757,43.72,6.001,0.214
104.107,43.69,6.001,0.213
104.483,43.83,6.001,0.212
104.832,43.9,6.001,0.211
105.182,43.86,6.001,0.211
105.53,43.75,6.001,0.219
105.879,41.81,6.001,0.219
106.254,41.8,6.001,0.219
106.604,41.77,6.001,0.219
106.953,41.77,6.001,0.219
107.303,41.79,6.001,0.218
107.651,41.8,6.001,0.218
108.027,41.79,6.001,0.218
108.375,41.78,6.001,0.218
108.725,41.78,6.001,0.217
109.074,41.78,6.001,0.218
109.423,41.75,6.001,0.217
109.798,41.7,6.001,0.217
110.149,41.67,6.001,0.216
110.498,41.63,6.001,0.216
110.847,41.61,6.001,0.215
111.197,43.42,6.001,0.214
111.545,43.73,6.001,0.214
111.905,43.83,6.001,0.214
112.262,43.83,6.001,0.214
112.619,43.91,6.001,0.213
112.971,43.87,6.001,0.213
113.318,43.82,6.001,0.214
113.668,43.68,6.001,0.213
114.044,43.64,6.001,0.213
114.395,43.65,6.001,0.213
114.744,43.71,6.001,0.212
115.093,43.69,6.001,0.211
115.443,43.67,6.001,0.211
115.791,43.67,6.001,0.211
116.167,43.72,6.001,0.21
116.515,43.65,6.001,0.21
116.864,43.61,6.001,0.209
117.213,43.72,6.001,0.21
117.59,43.54,6.001,0.209
117.938,43.49,6.001,0.209
118.289,43.44,6.001,0.21
118.637,43.13,6.001,0.212
118.985,42.84,6.001,0.212
119.336,42.81,6.001,0.212
119.711,42.8,6.001,0.211
120.06,40.98,6.001,0.219
120.408,40.97,6.001,0.219
120.76,40.96,6.001,0.218
