Time,Current,Power
0.003,66.58,331.965
0.405,64.07,327.116
0.768,63.93,327.51
1.171,63.42,323.846
1.551,63.42,329.084
1.935,63.14,326.722
2.285,62.81,322.802
2.634,62.63,320.842
2.984,62.05,320.709
3.37,61.8,315.206
3.725,61.73,317.054
4.085,61.14,312.475
4.433,60.89,312.736
4.782,60.59,311.292
5.132,60.17,310.631
5.509,60.05,307.614
5.857,59.64,306.952
6.209,59.37,306.06
6.557,58.98,302.499
6.906,58.71,304.996
7.266,58.46,301.492
7.622,58.33,302.075
7.98,58.2,301.754
8.33,58.12,300.906
8.679,57.91,300.065
9.029,57.84,295.073
9.404,57.54,300.022
9.754,57.29,296.095
10.103,57.27,297.428
10.452,57.02,296.095
10.802,57.01,295.217
11.151,56.82,295.31
11.526,56.73,290.743
11.876,56.7,294.432
12.224,56.34,289.782
12.574,56.04,292.457
12.949,55.91,290.074
13.299,55.52,290.507
13.648,55.67,287.518
13.996,55.29,286.179
14.346,55.03,285.77
14.698,54.89,283.529
15.073,54.65,284.996
15.42,54.47,281.845
15.771,54.2,280.873
16.12,54.22,280.948
16.47,54.13,277.997
16.872,54.03,281.732
17.221,53.83,276.611
17.57,53.53,277.547
17.946,53.29,279.675
18.296,53.44,276.802
18.645,52.92,272.947
18.993,52.78,272.533
19.343,52.55,272.751
19.691,52.51,270.42
20.042,52.32,271.313
20.417,51.8,270.177
20.767,51.5,269.668
21.116,51.85,264.934
21.464,51.3,266.976
21.815,51.15,264.417
22.193,50.75,262.69
22.556,50.69,266.889
22.918,51.01,261.119
23.292,50.53,261.433
23.642,50.12,256.04
23.991,49.69,259.285
24.34,49.6,256.778
24.689,49.6,256.573
25.064,49.32,259.759
25.415,49.32,252.957
25.764,49.26,258.603
26.112,49.16,252.797
26.463,49.18,251.75
26.81,48.94,255.778
27.188,48.77,251.388
27.536,48.68,255.005
27.887,48.57,256.552
28.235,48.59,253.945
28.638,48.53,253.565
28.986,48.23,248.249
29.336,48.34,252.052
29.686,48.2,250.742
30.045,48.1,250.48
30.428,48.04,249.657
30.787,48.1,246.319
31.137,47.99,247.598
31.513,47.87,246.058
31.916,47.73,245.599
32.282,47.98,247.662
32.639,47.98,246.058
32.991,47.67,243.673
33.366,47.49,245.044
33.73,47.55,245.83
34.092,47.66,246.22
34.467,47.44,241.971
34.816,47.36,245.11
35.165,47.21,242.882
35.513,47.37,243.77
35.863,47.52,241.777
36.239,47.05,242.494
36.589,47.1,241.544
36.937,47.22,243.473
37.286,47.17,244.063
37.636,47.11,241.379
37.984,47.16,243.212
38.345,46.97,244.32
38.699,46.98,240.497
39.061,47.02,243.436
39.409,46.94,242.523
39.759,46.76,240.524
40.107,46.94,242.785
40.486,46.85,239.712
40.889,46.86,240.358
41.253,46.61,242.135
41.614,46.84,240.497
41.962,46.91,240.69
42.312,46.83,238.927
42.688,46.93,239.904
43.037,46.77,239.546
43.388,46.65,237.999
43.789,46.53,241.737
44.139,46.43,237.69
44.487,46.19,239.974
44.836,46.28,236.288
45.184,46.04,235.808
45.562,46,239.072
45.91,46.13,237.307
46.261,46.03,237.809
46.609,46.16,236.477
46.961,46.14,236.36
47.362,45.99,237.095
47.711,45.91,237.213
48.06,46.28,237.429
48.436,45.94,235.902
48.785,45.83,235.598
49.135,45.87,234.197
49.484,45.77,233.506
49.834,45.66,234.217
50.182,45.7,234.478
50.531,45.64,235.64
50.908,45.56,236.688
51.255,45.61,235.976
51.607,45.66,233.263
51.955,45.56,235.398
52.305,45.51,234.947
52.681,45.43,234.123
53.03,45.41,234.291
53.379,45.43,233.618
53.766,45.26,233.787
54.122,45.19,233.823
