Time,Amps,Volts,Torque
0,36.62,6.001,1.289
0.37,60.25,6.001,1.288
0.77,59.24,6.001,1.284
1.172,59.42,6.001,1.278
1.552,59.69,6.001,1.272
1.933,59.49,6.001,1.268
2.283,59.34,6.001,1.264
2.631,59.2,6.001,1.261
2.981,59.09,6.001,1.258
3.331,59,6.001,1.256
3.708,58.83,6.001,1.253
4.057,58.79,6.001,1.251
4.406,58.69,6.001,1.249
4.754,58.56,6.001,1.247
5.104,58.4,6.001,1.245
5.453,58.27,6.001,1.243
5.83,58.08,6.001,1.241
6.179,57.9,6.001,1.239
6.529,57.74,6.001,1.236
6.876,57.55,6.001,1.234
7.227,57.32,6.001,1.232
7.603,57.12,6.001,1.23
7.952,56.91,6.001,1.226
8.303,56.71,6.001,1.224
8.65,56.54,6.001,1.222
9,56.44,6.001,1.219
9.349,56.32,6.001,1.216
9.725,56.13,6.001,1.214
10.073,56.01,6.001,1.211
10.424,55.83,6.001,1.208
10.771,55.71,6.001,1.206
11.122,55.54,6.001,1.202
11.471,55.28,6.001,1.199
11.846,55.12,6.001,1.197
12.195,55.08,6.001,1.194
12.545,54.9,6.001,1.192
12.894,54.84,6.001,1.19
13.27,54.86,6.001,1.189
13.619,54.74,6.001,1.187
13.968,54.69,6.001,1.185
14.317,54.54,6.001,1.183
14.665,54.5,6.001,1.182
15.015,54.42,6.001,1.18
15.393,54.32,6.001,1.178
15.74,54.18,6.001,1.176
16.09,54.07,6.001,1.175
16.439,53.99,6.001,1.172
16.789,53.84,6.001,1.171
17.137,53.81,6.001,1.169
17.514,53.71,6.001,1.168
17.864,53.66,6.001,1.165
18.211,53.48,6.001,1.163
18.562,53.31,6.001,1.161
18.911,53.25,6.001,1.16
19.287,53.18,6.001,1.158
19.634,53.1,6.001,1.156
19.984,53.01,6.001,1.154
20.333,52.9,6.001,1.153
20.683,52.81,6.001,1.151
21.033,52.7,6.001,1.149
21.409,52.64,6.001,1.148
21.759,52.57,6.001,1.146
22.106,52.52,6.001,1.145
22.456,52.42,6.001,1.143
22.832,52.31,6.001,1.142
23.182,52.2,6.001,1.14
23.529,52.13,6.001,1.138
23.88,51.98,6.001,1.136
24.229,51.95,6.001,1.135
24.578,51.87,6.001,1.133
24.955,51.76,6.001,1.132
25.305,51.67,6.001,1.13
25.653,51.67,6.001,1.13
26,52.18,6.001,1.13
26.352,52.06,6.001,1.129
26.7,51.98,6.001,1.129
27.077,51.94,6.001,1.128
